owner;repo;all_unused;maven_unused
apache;zeppelin;2158;2158
apache;incubator-seata;692;692
jboss-javassist;javassist;8;8
apache;shardingsphere;121;95
rest-assured;rest-assured;10;10
alibaba;nacos;0;0
linlinjava;litemall;70;1
apache;shenyu;14;14
flowable;flowable-engine;635;604
TheAlgorithms;Java;6;1
mybatis;spring-boot-starter;4;4
apache;druid;0;0
clojure;clojure;17;17
immutables;immutables;246;246
apache;incubator-kie-drools;68;68
javaparser;javaparser;89;89
stleary;JSON-java;0;0
metersphere;metersphere;0;0
apache;dolphinscheduler;85;37
alibaba;transmittable-thread-local;39;39
crate;crate;58;58
alibaba;arthas;1287;1287
jhy;jsoup;6;6
jetlinks;jetlinks-community;0;0
apache;nifi;154;141
zxing;zxing;0;0
LibrePDF;OpenPDF;6;6
spring-io;initializr;10;10
apache;shardingsphere-elasticjob;10;0
flyway;flyway;0;0
questdb;questdb;0;0
kubernetes-client;java;0;0
apache;rocketmq;1;1
swagger-api;swagger-core;8;8
Atmosphere;atmosphere;0;0
checkstyle;checkstyle;0;0
sofastack;sofa-jraft;4;4
OpenRefine;OpenRefine;7;7
TooTallNate;Java-WebSocket;2;0
thingsboard;thingsboard;0;0
apache;incubator-streampark;0;0
OpenAPITools;openapi-generator;8;0
apache;zookeeper;24;0
Konloch;bytecode-viewer;1;1
kekingcn;kkFileView;0;0
alibaba;druid;0;0
AsyncHttpClient;async-http-client;3;3
DTStack;chunjun;1;1
aragozin;jvm-tools;21;21
cryptomator;cryptomator;3;3
jtablesaw;tablesaw;14;14
apache;linkis;5;0
fabric8io;kubernetes-client;474;474
socketio;socket.io-client-java;3;3
redis;jedis;1;1
apache;skywalking;0;0
mybatis;mybatis-3;0;0
spring-cloud;spring-cloud-netflix;4;4
redisson;redisson;4;4
abel533;Mapper;14;14
google;gson;1;0
graphhopper;graphhopper;4;4
joelittlejohn;jsonschema2pojo;4;4
openzipkin;zipkin;0;0
jitsi;jitsi;1;1
jetty;jetty.project;0;0
Nepxion;Discovery;4;4
netty;netty;7;7
YunaiV;yudao-cloud;3;3
quarkusio;quarkus;1;1
pagehelper;Mybatis-PageHelper;1;0
apache;pulsar;0;0
Tencent;spring-cloud-tencent;1;1
spring-cloud;spring-cloud-gateway;0;0
bastillion-io;Bastillion;0;0
citerus;dddsample-core;1;1
debezium;debezium;13;0
strimzi;strimzi-kafka-operator;0;0
dromara;hmily;0;0
jeremylong;DependencyCheck;0;0
JanusGraph;janusgraph;23;23
knowm;XChange;113;113
codecentric;spring-boot-admin;178;178
vert-x3;vertx-examples;14;0
sofastack;sofa-rpc;0;0
torakiki;pdfsam;29;29
xuxueli;xxl-job;0;0
alibaba;easyexcel;1;1
karatelabs;karate;6;6
